year,actor1_country_code,actor2_country_code,event_count,num_mentions
2001-01-01,KWT,DZA,2,9
2001-01-01,AFR,IRQ,4,22
2001-01-01,GRC,PAK,2,6
2001-01-01,GRC,ARM,1,9
2001-01-01,JPN,PAK,2,23
2001-01-01,AUS,NOR,28,86
2001-01-01,ZWE,NAM,1,9
2001-01-01,CAN,CHN,1,1
2001-01-01,SDN,BEL,1,9
2001-01-01,GIN,SLE,6,19
2001-01-01,NZL,IDN,5,15
2001-01-01,UKR,RUS,3,25
2001-01-01,CZE,USA,1,9
2001-01-01,ALB,SRB,1,4
2001-01-01,PAN,JPN,1,4
2001-01-01,JPN,USA,7,38
2001-01-01,CHE,AFG,3,31
2001-01-01,GRC,SYR,1,4
2001-01-01,KEN,USA,1,18
